[2021-10-22 18:58:16.231] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\main.cpp::355::Helper process started
[2021-10-22 18:58:16.235] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: startup.launched
[2021-10-22 18:58:17.743] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: ledger.create_account.success
[2021-10-22 18:58:17.744] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::769::ledger_create_account_success
[2021-10-22 18:58:17.748] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: startup.ledger_init
[2021-10-22 18:58:17.776] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: cfu.helper.1957
[2021-10-22 18:58:17.777] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\main.cpp::611::Running io_context
[2021-10-22 18:58:17.777] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: startup.enter_event_loop
[2021-10-22 18:58:17.777] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: bt_con.handshake
[2021-10-22 18:58:17.892] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::1200::FAILED: handle_get_email_information. Status: -5
[2021-10-22 18:58:18.008] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: adjust_balance.confirmed
[2021-10-22 18:58:18.008] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::1167::adjust_balance_confirmed. Balance remains unchanged: 0
[2021-11-30 11:02:27.827] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\main.cpp::355::Helper process started
[2021-11-30 11:02:27.828] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: startup.launched
[2021-11-30 11:02:27.893] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: startup.ledger_init
[2021-11-30 11:02:27.925] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: cfu.helper.1957
[2021-11-30 11:02:27.925] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\main.cpp::611::Running io_context
[2021-11-30 11:02:27.925] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: startup.enter_event_loop
[2021-11-30 11:02:27.925] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: bt_con.handshake
[2021-11-30 11:02:29.694] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::1200::FAILED: handle_get_email_information. Status: -5
[2021-11-30 11:02:29.823] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\analytics_ping.cpp::529::Sending bench ping: adjust_balance.confirmed
[2021-11-30 11:02:29.823] [logger] [info] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::1167::adjust_balance_confirmed. Balance remains unchanged: 0
[2021-11-30 11:02:45.564] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:46.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:46.744] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:47.685] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:47.685] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:47.931] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:48.368] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:48.556] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:48.556] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:48.869] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:48.994] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:49.057] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:49.134] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:49.134] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:49.134] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:49.368] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:49.431] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:49.932] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:50.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:50.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:50.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:50.431] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:50.806] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:50.994] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:51.118] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:51.571] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.306] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.931] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.931] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:52.994] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.131] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.243] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.309] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.309] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.309] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.309] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:53.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:54.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:54.369] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:54.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:54.681] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.431] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.431] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.626] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.626] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.626] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
[2021-11-30 11:02:55.868] [logger] [error] x:\jenkins-workspace\workspace\token-wallet-pipeline\src\ledger.cpp::875::channel amount = 0
